refDes,manufacturer,mpn,quantity,unitPrice,altMpn,altManufacturer,notes
U1,Espressif Systems,ESP32-S3-WROOM-1-N16R2,1,6.32,,,"MCU module (controller domain); SPI2/FSPI IO_MUX pins GPIO10-13 drive the isolator - IO_MUX avoids the GPIO-matrix delay"
U2,Richtek,RT9080-33GJ5,1,0.28,,,"3V3_A LDO 600mA (controller domain). NOT usable on the isolated rail: 6V abs max vs 6.33V worst case there"
U3,Texas Instruments,ISO7741DWR,1,3.56,,,"4-ch digital isolator, 3 forward + 1 reverse = a 4-wire SPI master port. NON-F VARIANT REQUIRED: default output HIGH keeps CS# deasserted when either side loses power. ISO7741DW (tube) is Obsolete/0 stock - order the DWR reel part"
U4,Microchip Technology,MCP1703AT-3302E/DB,1,0.84,MCP1755S-3302E/DB,Microchip Technology,"3V3_ISO post-regulator. Chosen for 18V abs max Vin (the unregulated isolated rail reaches 6.68V at no load). SOT-223 pinout is 1=VIN 2=GND 3=VOUT - CONFIRM PINOUT before ANY substitution; NCP1117/AMS1117-class SOT-223 parts are reversed"
U5,Microchip Technology,MCP3208-CI/SL,1,2.78,,,"12-bit 8-channel SPI ADC on the isolated side; CH4-CH7 tied to GND_ISO (no floating analog inputs)"
D1,STMicroelectronics,USBLC6-2SC6,1,0.57,USBLC6-2SC6,UMW,"VBUS + D+/D- ESD array; UMW is a pin/spec second source"
PS1,Recom Power,R1SE-0505-R,1,4.37,,,"1W isolated DC-DC 5V/5V, UNREGULATED, 20-70kHz. SETS THE BOARD'S ISOLATION RATING: functional grade, 1kVDC/1s, 500VAC/1min, 75pF barrier capacitance. No substitution without re-running the isolation review (design.md section 9)"
F1,Littelfuse,miniSMDC150F-2,1,0.61,,,"PTC polyfuse 1.5A hold / 3.0A trip, R1max 110mR. Replaces the L1.01 1206L050YR, whose 700mR post-trip resistance would drop PS1's input below its 4.5V minimum"
J1,GCT,USB4110-GF-A,1,1.27,,,"USB-C receptacle; right-angle SMT contacts with THT solder-retention posts"
"J2,J3,JP1",Sullins Connector Solutions,PRPC040SAAN-RC,3,1.23,,,"Breakaway header snapped to 1x6 (J2 isolated analog) + 1x6 (J3 isolated SPI) + 1x2 (JP1 ADC select). Quantity is the placement count; ONE 1x40 strip physically covers all three (14 of 40 pins) - buy 1"
SH1,Sullins Connector Solutions,SPC02SYAN,1,0.10,,,"Shunt jumper for JP1. Fitted = on-board ADC is on the isolated bus; removed = an external device on J3 owns the bus (R8 holds the ADC deselected)"
L1,Bourns,SRN6045TA-101M,1,0.47,,,"100uH pi-filter inductor; DCR 456mR max, Irms 920mA, Isat 1.33A. Sets the 1.07kHz filter corner with C11"
C11,Panasonic,EEU-FR1C221B,1,0.48,UWT1C221MCL1GS,Nichicon,"220uF 16V radial electrolytic - pi-filter bulk. ELECTROLYTIC ON PURPOSE: no DC-bias derating (so the filter math holds) and its 130mR ESR damps the LC to Q=1.15. A ceramic bank would fail both"
"C1,C8,C9,C10",KEMET,C0805C106K3PACTU,4,0.29,,,"10uF 25V X5R. C1 = 3V3_A bulk; C8+C9 = PS1 input decoupling (2x parallel); C10 = V_ISO_RAW local reservoir"
"C5,C6,C12,C13,C16",Würth Elektronik,885012207103,5,0.31,,,"1uF. C5/C6 = RT9080 in/out; C12/C13 = MCP1703A in/out; C16 = MCP3208 VREF"
"C2,C3,C4,C7,C14,C15",Samsung Electro-Mechanics,CL21B104KBCNNNC,6,0.10,,,"0.1uF. C2/C3 = WROOM decoupling; C4 = EN cap; C7 = ISO7741 VCC1; C14 = ISO7741 VCC2; C15 = MCP3208 VDD"
"R1,R2,R8",Yageo,RC0805FR-0710KL,3,0.10,,,"10k. R1 = EN pull-up; R2 = BOOT pull-up; R8 = MCP3208 CS# pull-up (holds the ADC deselected when JP1 is open)"
"R3,R4",Yageo,RC0805FR-075K1L,2,0.10,,,"5.1k USB-C CC1/CC2 sink pull-downs"
"R9,R10,R11,R12,R13,R14,R15,R16",Yageo,RC0805FR-071KL,8,0.10,,,"1k series on every isolated header pin: R9-R12 on J3 (SPI), R13-R16 on J2 (analog). NOT the catalog 10k - 10k would break 12-bit ADC settling inside the 1.5us sample window"
"R5,R6,R17",Yageo,RC0805FR-07470RL,3,0.10,,,"470R LED series: R5 = 3V3_A power LED; R6 = SCAN LED on GPIO47; R17 = 3V3_ISO power LED"
R7,Yageo,RC1206FR-07330RL,1,0.10,,,"330R preload on V_ISO_RAW - holds PS1 above its 10% minimum load so its datasheet regulation figures apply. 1206 not 0805: 109mW would be 87% of an 0805's rating"
LED1,Würth Elektronik,150080RS75000,1,0.19,,,"Red - 3V3_A power LED (controller domain). Red not green: green Vf ~3.2V will not light on a 3.3V rail"
"LED2,LED3",Würth Elektronik,150080YS75000,2,0.19,,,"Yellow. LED2 = SCAN activity on GPIO47 (controller domain); LED3 = 3V3_ISO power LED (isolated domain) - one power LED per domain is deliberate"
"SW1,SW2",Omron,B3F-1000,2,0.35,,,"EN (reset) / BOOT tactile, THT"
"TP1,TP3,TP4",Keystone Electronics,5010,3,0.30,,,"Red test points: TP1 = 3V3_A; TP3 = V_ISO_RAW (before regulation); TP4 = 3V3_ISO (after). TP3/TP4 are how the learner SEES the post-regulation working"
"TP2,TP5",Keystone Electronics,5011,2,0.27,,,"Black test points: TP2 = GND_A; TP5 = GND_ISO. LABEL BY DOMAIN - an earthed oscilloscope ground clip on GND_ISO shorts the isolation barrier through the scope"
