refDes,manufacturer,mpn,quantity,unitPrice,altMpn,altManufacturer,notes
C1,KEMET,C0805C106K3PACTU,1,0.29,,,10uF/16V X5R 0805 - 3V3 bulk (L1.01 core; the part from L1.01's post-freeze 2026-06-24 ECN)
"C2,C3,C4,C10,C12,C13",Samsung Electro-Mechanics,CL21B104KBCNNNC,6,0.10,,,0.1uF/50V X7R 0805 - C2/C3 module decoupling + C4 EN RC (core) + C10 LM3404 VCC filter (the datasheet mandates 100nF X7R) + C12/C13 ADC divider filters
"C5,C6",Würth Elektronik,885012207103,2,0.31,,,1uF/50V X7R 0805 - RT9080 LDO in/out (L1.01 core)
C7,KEMET,ESL107M035AE3AA,1,0.27,,,100uF/35V radial electrolytic on V12. FUNCTIONAL NOT DECORATIVE: its 85mOhm ESR at 100kHz is the damping that holds the input filter's peak output impedance at 0.17 ohm against the converter's -106 ohm input impedance (design.md section 3 row 21). A low-ESR polymer substitute BREAKS the front end - any ECN must re-run that row. 35V so the SMAJ15A clamp (24.4V) cannot exceed it (NEW)
"C8,C11",Samsung Electro-Mechanics,CL32B225KBJNNNE,2,0.45,,,2.2uF/50V X7R 1210 - C8 is the LM3404 input capacitor (2x the 1.09uF minimum and 2x the rated Vin per TI SNVS465G 8.1.5). C11 sits across the LED terminals and splits the ripple so the LED sees 7% while the sense resistor still sees the 23% the CS comparator needs; it also damps the open-circuit ring (SNVS465G 7.3.9) (NEW)
C9,Samsung Electro-Mechanics,CL21B103KBANNNC,1,0.10,,,10nF/50V X7R 0805 - bootstrap capacitor BOOT to SW. The datasheet says it "must always be a 10-nF ceramic X7R" - not a value to optimise (NEW)
D1,STMicroelectronics,USBLC6-2SC6,1,0.57,USBLC6-2SC6,UMW,USB ESD array (L1.01 core); STMicro primary per l1-03 P13-5
"D2,D4",Vishay General Semiconductor,SS34-E3/57T,2,1.02,SS14-E3/61T,Vishay General Semiconductor,40V/3A Schottky SMC. D2 = series reverse-polarity BLOCK on the 12V input (a TVS-only mitigation would clamp at -0.7V and violate the LM3404's -0.3V VIN abs-max). D4 = recirculating diode. VF<=0.5V at 3A so far lower at 0.357A; RthJA 55C/W on 14x14mm copper pads - a LAYOUT REQUIREMENT. REUSE - already in the library. Alt SS14 has a higher VF at 0.357A; re-run the loss rows if substituted
D3,Littelfuse,SMAJ15A,1,0.48,,,400W uni TVS across V12 - VRWM 15V (no conduction at the 13.2V corner; ID <= 5uA) / VBR min 16.7V / VC max 24.4V at 16.4A. Clamps below the LM3404's 45V abs-max and C7's 35V. Sacrificial against a 24V brick with F2 clearing (NEW)
F1,Littelfuse,1206L050YR,1,0.64,0ZCJ0050FF2G,Bel Fuse,PTC polyfuse 0.5A hold - USB VBUS ONLY (L1.01 core). NOTE ITS 6V RATING: it must NEVER be reused on the 12V rail - see F2. The two parts sit one line apart on this BOM and are in different case sizes (1206 vs 1812) so the footprints are not interchangeable either (RK21)
F2,Littelfuse,1812L050/30PR,1,1.24,,,PTC polyfuse 0.5A hold / 1A trip / 30V - the 12V rail. The 30V rating is the whole point: it survives the 24V wrong-brick fault while D3 crowbars. Operating current 113mA = 23% of hold (NEW)
HS1,Wakefield Thermal Solutions,882-100AB,1,4.83,882-200AB,Wakefield Thermal Solutions,Radial-fin heatsink for star LED packages - 60C rise at 9W (6.7 C/W natural convection); six #4-40 holes take the 20mm star directly. A BOM LINE NOT A NOTE: design.md section 3 rows 32-34 prove the board is out of thermal spec without it even at nominal power (NEW)
J1,GCT,USB4110-GF-A,1,1.27,,,USB-C receptacle (L1.01 core)
"J2,J3",Sullins Connector Solutions,PRPC040SAAN-RC,2,1.23,,,GPIO breakaway headers (1x40 snapped to 1x22) (L1.01 core). Silk-mark GPIO4/5/6 as in-use (RK12)
J4,Same Sky,PJ-102AH,1,0.72,,,2.1x5.5mm DC barrel jack centre-positive - the 12V input. Chosen over a second screw terminal so the 12V lead physically cannot be plugged into J5 (RK5). EXACT-STRING CAUTION: DigiKey returns "Same Sky (Formerly CUI Devices)" - confirm the library string at part creation (NEW)
J5,TE Connectivity,282837-2,1,0.95,,,2-pos 5.08mm screw terminal - LED+/LED- to the off-board star. The only screw terminal on the board; breaking it is also how the learner puts a DMM in series with the LED (reuse of the l1-03 / TB-1-POWER family part)
L1,Bourns,SRR1208-101KL,1,0.94,SDR1105-101KL,Bourns,100uH +/-10% SHIELDED SMD drum - Isat 2.1A clears the LM3404's 1.8A max current limit; DCR 170mOhm max. The VALUE is set by the CS ripple window (25mV floor / 94mV OVP ceiling) not by a ripple preference. Alt SDR1105 is UNSHIELDED - re-check the EMI risk if substituted (NEW)
LED1,Würth Elektronik,150080RS75000,1,0.19,,,red power LED on 3V3 (L1.01 core)
LED2,Würth Elektronik,150080YS75000,1,0.19,,,yellow user LED on GPIO48 (L1.01 core)
LED3,New Energy,LST1-01H06-3080-01,1,9.42,XQEAWT-00-0000-00000HDE5-SB01,New Energy,LUXEON C 3000K CRI80 on a 20mm aluminium star - the load. VF 2.75V typ at 350mA/Tj85C. Off-board; never hand-soldered by the learner. PART-TRUTH CONFLICT: the star sheet rates 1.23A/Tsp105C while Lumileds DS41 rates 500mA DC / case 85C - the design uses the conservative DS41 envelope and clears both. Confirm the delivered die generation at receiving inspection (NEW)
"R1,R2,R11,R13,R14,R16",Yageo,RC0805FR-0710KL,6,0.10,,,10k 1% 0805 - R1/R2 EN+GPIO0 pull-ups (core) + R11 SW-to-GND off-state glow bleed (TI table 1 suggests 20k for 1 LED; 10k is stronger and reuses the catalog) + R13 V12 divider bottom + R14 LED-sense divider top + R16 ADC series protection
"R3,R4,R15",Yageo,RC0805FR-075K1L,3,0.10,,,5.1k 1% 0805 - R3/R4 USB-C CC sink pull-downs (core) + R15 LED-sense divider bottom
"R5,R6",Yageo,RC0805FR-07470RL,2,0.10,,,470R 1% 0805 - indicator LED series resistors (L1.01 core)
"R7,R12",Yageo,RC0805FR-0782KL,2,0.10,,,82k 1% 0805 - R7 sets the LM3404 on-time (916ns at 12V; fSW 272kHz nominal) + R12 V12 divider top. The 82k value came out of the Pass-3 redesign: 68k put the CS ripple 0.8% above the datasheet's 25mV SNR floor (NEW)
R8,Susumu,RL1632R-R620-F,1,0.25,CSR1206FTR620,Stackpole Electronics Inc,0.62R 1% 1/2W 1206 current-sense - THE part that sets the LED current against the LM3404's 200mV valley threshold. Its tolerance and its 0/+100ppm/C TCR are two of the six terms in the worst-case current stack; 79mW in a 500mW part = 15.8% (NEW)
"R9,R10",Yageo,RC0805FR-071KL,2,0.10,,,1k 1% 0805 - R9 CS-pin series protection against LED hot-swap (TI SNVS465G 8.1.8.1; C11 makes that transient path real) + R10 DIM pull-down that makes the LED default-OFF against the 80uA internal pull-up with 0.72V of margin (NEW)
"SW1,SW2",Omron,B3F-1000,2,0.35,,,EN and BOOT buttons (L1.01 core)
TP1,Keystone Electronics,5010,1,0.30,,,3V3 test point red (L1.01 core). TP3-TP6 (V12 / LED+ / R8-high / SW) are labelled pads with no BOM line
TP2,Keystone Electronics,5011,1,0.27,,,GND test point black (L1.01 core)
U1,Espressif Systems,ESP32-S3-WROOM-1-N16R2,1,6.32,,,ESP32-S3 module (L1.01 core). New nets: GPIO6 = LED_DIM (1kHz PWM); GPIO4 = V12_SENSE (ADC1_CH3); GPIO5 = VLED_SENSE (ADC1_CH4). ADC1 only - ADC2 is unusable with WiFi on
U2,Richtek,RT9080-33GJ5,1,0.28,,,3.3V/600mA linear LDO - MCU domain only (L1.01 core)
U3,Texas Instruments,LM3404MAX/NOPB,1,2.28,LM3404HVMA/NOPB,Texas Instruments,1A constant-current buck LED driver SOIC-8. THE "MA" VARIANT IS DELIBERATE: plain SOIC-8 with NO exposed pad so every joint is iron-solderable - do NOT substitute LM3404MRX/NOPB (SO PowerPAD). Vin 6-42V; DIM pin; 165C thermal shutdown; no loop compensation. Alt LM3404HVMA is the 75V pin-compatible drop-in (NEW)
